大南正編列傳初集卷之三十。	ĐẠI NAM CHÍNH BIÊN LIỆT TRUYỆN Tập đầu, quyển 30.
却说公孙瓒知袁绍已据冀州，遣弟公孙越来见绍，欲分其地。	Công Tôn Toản thấy Thiệu được Ký Châu, liền sai em là Công Tôn Việt đến thăm Thiệu và giục Thiệu chia đất theo như lời đã ước với nhau.
绍曰：“可请汝兄自来，吾有商议。”	Thiệu bảo Việt: - Về mời anh ngươi lại đây, ta sẽ nói chuyện.
越辞归。行不到五十里，道旁闪出一彪军马，口称：“我乃董丞相家将也！”	Việt về, đi chưa được năm mươi dặm, bỗng gặp một cánh quân mã ở cạnh đường xông ra, nói rằng: - Ta là gia tướng của Đổng thừa tướng đây!
乱箭射死公孙越。	Rồi tên bắn ra tua tủa. Việt bị thương chết.
从人逃回见公孙瓒，报越已死。	Thủ hạ trốn được về báo với Công Tôn Toản.
瓒大怒曰：“袁绍诱我起兵攻韩馥，他却就里取事；今又诈董卓兵射死吾弟，此冤如何不报！”	Toản tức lắm, nói rằng: - Viên Thiệu nhủ ta đem binh đến đánh Hàn Phức, chẳng qua là dụng mưu lừa dối ta. Nay lại giả trá là quân Đổng Trác để giết em ta, thù này thế nào ta cũng phải báo!
尽起本部兵，杀奔冀州来。	Nói rồi đem hết cả quân bản hậu kéo sang Ký Châu.
绍知瓒兵至，亦领军出。	Thiệu thấy Toản kéo quân đến cũng dẫn quân ra.
二军会于磐河之上：绍军于磐河桥东，瓒军于桥西。	Hai bên gặp nhau ở trên sông Bản Hà. Thiệu dàn quân bên đông cầu, Toản dàn quân bên tây cầu.
瓒立马桥上，大呼曰：“背义之徒，何敢卖我！”	Toản cưỡi ngựa đứng trên cầu, mắng to lên rằng: - Thằng bội nghĩa kia! Sao mày dám lừa tao?
绍亦策马至桥边，指瓒曰：“韩馥无才，愿让冀州于吾，与尔何干？”	Thiệu cũng thúc ngựa đến cạnh cầu, trỏ tay vào Toản nói rằng: - Hàn Phức hèn hạ, tự xin nhường Ký Châu cho tao, có việc gì đến mày?
瓒曰：“昔日以汝为忠义，推为盟主；今之所为，真狼心狗行之徒，有何面目立于世间！”	Toản lại nói: - Ngày trước tao tưởng mày là đứa có nhân nghĩa, bầu mày làm minh chủ. Bây giờ, xem những điều mày làm có khác gì chó má. Mày còn mặt mũi nào đứng trên cõi đời nữa?
袁绍大怒曰：“谁可擒之？”	Viên Thiệu giận lắm, thét rằng: - Ai vào lôi cổ nó ra đây cho ta?
言未毕，文丑策马挺枪，直杀上桥。	Thiệu nói chưa dứt lời thì Văn Sú vác giáo, thúc ngựa xông thẳng lên cầu.
公孙瓒就桥边与文丑交锋。	
战不到十余合，瓒抵挡不住，败阵而走。	Toản đánh nhau với Sú chưa được mười hiệp, thua chạy.
文丑乘势追赶。	Sú đuổi theo.
瓒走入阵中，文丑飞马径入中军，往来冲突。	Toản chạy vào trong trận. Sú cũng phi ngựa xông vào giữa đám quân.
瓒手下健将四员，一齐迎战；被文丑一枪，刺一将下马，三将俱走。	Thủ hạ Toản có bốn tướng giỏi, kéo ùa cả ra đánh với Văn Sú, Sú đâm trúng một người ngã ngựa, còn ba người kia đều chạy.
文丑直赶公孙瓒出阵后，瓒望山谷而逃。	Sú đuổi Toản chạy ra đằng sau trận, Toản nhìn vào một cái hang núi toan chạy trốn vào đó.
文丑骤马厉声大叫：“快下马受降！”	Sú thúc ngựa quát lên rằng: - Mau xuống ngựa hàng đi!
瓒弓箭尽落，头盔堕地；披发纵马，奔转山坡；其马前失，瓒翻身落于坡下。	Toản cung tên rơi mất cả, mũ lăn xuống đất, đầu tóc tả tơi, phi ngựa chạy quanh rặng núi. Chẳng may ngựa vấp quỵ hai chân trước. Toản cũng ngã quay xuống dưới bờ núi.
文丑急捻枪来刺。	Sú cầm ngọn giáo, xô lại để đâm.
忽见草坡左侧转出个少年将军，飞马挺枪，直取文丑，公孙瓒扒上坡去，看那少年：生得身长八尺，浓眉大眼，阔面重颐，威风凛凛，与文丑大战五六十合，胜负未分。	Bỗng đâu bên cạnh bờ có một tướng, người trẻ trung vác ngọn giáo phi ngựa ra đâm Văn Sú. Công Tôn Toản lẻn trèo lên sườn núi, trông thấy tướng ấy mình cao tám thước, mày rậm, mắt to, mặt rộng, má bầu, uy phong lẫm liệt. Hai người đánh nhau năm sáu mươi hiệp, chưa rõ bên nào thua bên nào được.
瓒部下救军到，文丑拨回马去了。那少年也不追赶。	Quân cứu của Toản kéo đến. Sú quay ngựa lui về, tướng trẻ tuổi ấy cũng không đuổi theo.
瓒忙下土坡，问那少年姓名。那少年欠身答曰：“某乃常山真定人也，姓赵，名云，字子龙。	Toản vội vàng xuống ngựa hỏi tên họ, tướng ấy vái một vái thưa rằng: - Tôi là người ở Chân Định, xứ Thường Sơn, họ Triệu tên Vân Trường, tên chữ là Tử Long.
本袁绍辖下之人。因见绍无忠君救民之心，故特弃彼而投麾下，不期于此处相见。”	Nguyên tôi là người ở địa hạt Viên Thiệu, nhân thấy Thiệu không có bụng trung vua cứu dân, nên tôi bỏ xứ ấy đến đây theo ngài. Không ngờ lại gặp ngài ở chỗ này!
瓒大喜，遂同归寨，整顿甲兵。	Toản mừng lắm mời Triệu Vân về trại, sửa sang lại áo giáp và đồ khí giới.
次日，瓒将军马分作左右两队，势如羽翼。马五千余匹，大半皆是白马。	Hôm sau, toản chia quân mã ra làm hai cánh, ngựa có hơn năm nghìn con, quá nửa toàn ngựa trắng.
因公孙瓒曾与羌人战，尽选白马为先锋，号为白马将军；羌人但见白马便走，因此白马极多。	Vì khi xưa Toản đánh nhau với người rợ Khương, chọn tuyển ngựa trắng làm tiên phong, gọi là Bạch mã tướng quân. Người rợ Khương trông thấy ngựa trắng là chạy. Từ đó Toản có rất nhiều ngựa trắng.
袁绍令颜良、文丑为先锋，各引弓弩手一千，亦分作左右两队；令在左者射公孙瓒右军，在右者射公孙瓒左军。	Thiệu sai Nhan Lương, Văn Sú làm tiên phong, mỗi người đem một nghìn quân cung nỏ cũng chia làm hai cánh tả hữu: Truyền lệnh cho cánh quân tả bắn hữu quân của Toản, cánh quân hữu bắn tả quân của Toản.
再令麴义引八百弓手，步兵一万五千，列于阵中。	Lại sai Khúc Nghĩa đem tám trăm tay cung, một vạn rưỡi quân bộ dàn ở giữa trận.
袁绍自引马步军数万，于后接应。	Viên Thiệu đem quân mã, bộ vài vạn, đi sau để tiếp ứng.
公孙瓒初得赵云，不知心腹，令其另领一军在后。遣大将严纲为先锋。	Công Tôn Toản mới được Triệu Tử Long, chưa biết bụng dạ thế nào, sai lĩnh riêng một toán quân đi mặt sau, chức tiên phong giao cho đại tướng Nghiêm Cương.
瓒自领中军，立马桥上，傍竖大红圈金线帅字旗于马前。	Toản tự lĩnh cánh trung quân, cưỡi ngựa đứng trên cầu, bên mình dựng một lá cờ đỏ thêu một chữ Súy bằng kim tuyến.
从辰时擂鼓，直到巳时，绍军不进。	Từ giờ thìn, đánh trống đến mãi giờ tỵ không thấy Viên Thiệu tiến binh.
麴义令弓手皆伏于遮箭牌下，只听炮响发箭。	Khúc Nghĩa sai những tay cung phục cả ở dưới mộc, hẹn đến lúc nào thấy có một tiếng súng lệnh mới được bắn tên ra.
严纲鼓噪呐喊，直取麴义。	Nghiêm Cương đánh trống, reo hò tiến lên, xông thẳng vào đánh Khúc Nghĩa.
义军见严纲兵来，都伏而不动；直到来得至近，一声炮响，八百弓弩手一齐俱发。	Quân Nghĩa thấy Cương vào cũng mặc, cứ để cho vào. Khi Cương đến gần, sát quân Nghĩa, mới có một tiếng pháo vang lên, tám trăm cung nỏ cùng bắn ra một lúc.
纲急待回，被麴义拍马舞刀，斩于马下，瓒军大败。	Cương định chạy trở về, Nghĩa đã tế ngựa đến chém Cương chết lăn quay xuống chân ngựa. Quân Toản thua.
左右两军，欲来救应，都被颜良、文丑引弓弩手射住。	Hai bên tả hữu đổ ra để cứu, lại bị Nhan Lương, Văn Sú dẫn quân cung nỏ bắn sang, nên không thể nào cứu lại được nữa.
绍军并进，直杀到界桥边。	Quân Thiệu bấy giờ mới tiến lên, đến mãi cạnh cầu.
麴义马到，先斩执旗将，把绣旗砍倒。	Khúc Nghĩa phi ngựa lên trước, chém ngay tướng cầm cờ của Toản, chặt ngọn cờ gẫy đôi rơi xuống đất.
公孙瓒见砍倒绣旗，回马下桥而走。.	Toản thấy cờ đổ, vội vàng quay ngựa xuống cầu chạy.
麴义引军直冲到后军，正撞着赵云，挺枪跃马，直取麴义。战不数合，一枪刺麴义于马下。	Khúc Nghĩa đem binh xông vào đến tận hậu binh của Toản; gặp Triệu Tử Long. Tử Long cầm ngọn giáo xông vào đánh Khúc Nghĩa, đánh có vài ba hiệp, đâm Khúc Nghĩa chết ngay.
赵云一骑马飞入绍军，左冲右突，如入无人之境。	Tử Long cưỡi một con ngựa, phi vào đám quân Viên Thiệu, xông xáo như đi vào chỗ không người.
公孙瓒引军杀回，绍军大败。	Toản kéo quân đánh lại. Quân Thiệu lại thua.
却说袁绍先使探马看时，回报麴义斩将搴旗，追赶败兵；因此不作准备，与田丰引着帐下持戟军士数百人，弓箭手数十骑，乘马出观，呵呵大笑曰：“公孙瓒无能之辈！”	Giữa lúc Khúc Nghĩa chém được tướng cầm cờ của Toản, Viên Thiệu sai quân thám mã ra xem, quân thám về báo rằng Nghĩa chém được tướng, chặt được cờ, đương đuổi Toản. Vì thế Thiệu không chuẩn bị gì cả, cùng với Điền Phong dẫn vài trăm quân vác kích, vài mươi tay cung, cưỡi ngựa ra xem, cười ha hả, cho Toản là hạng hèn hạ chẳng làm trò gì được.
正说之间，忽见赵云冲到面前。	Trong khi Thiệu đang cười, nói nói, bỗng thấy Triệu Tử Long xông đến tận trước mặt.
弓箭手急待射时，云连刺数人，众军皆走。	Những tay cung vội vàng bắn, Triệu Tử Long đâm luôn mấy đứa, chúng khiếp sợ bỏ chạy cả.
后面瓒军团团围裹上来。	Đằng sau thì quân Toản cuồn cuộn tiến lên vây Thiệu lại.
田丰慌对绍曰：“主公且于空墙中躲避！”	Điền Phong vội vàng bảo Thiệu rằng: - Chúa công nên lánh vào trong bức tường kia.
绍以兜鍪扑地，大呼曰：“大丈夫愿临阵斗死，岂可入墙而望活乎！”	Thiệu liền cầm mũ đầu mâu quăng xuống đất quát to lên rằng: - Đại trượng phu muốn chết ở chiến trường, chứ lại núp vào tường cầu sống làm gì!
众军士齐心死战，赵云冲突不入，绍兵大队掩至，颜良亦引军来到，两路并杀。赵云保公孙瓒杀透重围，回到界桥。	Quân Viên Thiệu liền cố sức liều chết mà chống cự, Triệu Vân không thể xông vào được nữa. Lúc ấy đại quân của Thiệu vừa kéo đến kịp; Triệu Vân bảo vệ Công Tôn Toản, đánh ra được khỏi vòng vây.
绍驱兵大进，复赶过桥，落水死者，不计其数。	Lúc về, đến đầu cầu bên này, quân Thiệu lại tiến lên, sang qua cầu. Quân Toản sa xuống sông chết rất nhiều.
袁绍当先赶来，不到五里，只听得山背后喊声大起，闪出一彪人马，为首三员大将，乃是刘玄德、关云长、张翼德。	Viên Thiệu xông thẳng lên trước, chưa được năm dặm, đã nghe thấy mé sau núi có tiếng hò reo, một toán quân mã kéo ra. Ba tướng đi trước là Lưu Bị, Quan Vũ, Trương Phi.
因在平原探知公孙瓒与袁绍相争，特来助战。	Ba anh em đang ở Bình Nguyên nghe thấy Toản đánh nhau với Thiệu, đem quân đánh giúp.
当下三匹马，三般兵器，飞奔前来，直取袁绍。	Ba người vừa đến nơi gặp Thiệu đương đuổi Toản liền tế ngựa chạy lại cứu.
绍惊得魂飞天外，手中宝刀坠于马下，忙拨马而逃，众人死救过桥。	Thiệu trông thấy ba người hồn vía lên mây cả, con dao quý đang cầm trong tay rơi ngay xuống đất, chỉ vừa kịp thúc ngựa quay đầu chạy. Nhờ quân mã cố sức cứu, Thiệu mới về được khỏi cầu.
公孙瓒亦收军归寨。	Công Tôn Toản cũng thu quân về trại, Lưu, Quan, Trương vào chào, cùng nhau hỏi han trò chuyện.
玄德、关、张动问毕，瓒曰：“若非玄德远来救我，几乎狼狈。”	Toản nói: - Giá Huyền Đức không đến cứu ta, ta còn bị khốn đốn nhiều.
教与赵云相见。	Rồi Toản bảo ba người vào gặp Triệu Tử Long.
玄德甚相敬爱，便有不舍之心。	Lưu Bị mới thấy Triệu Vân, đã có bụng yêu mến ngay, không muốn rời xa nữa.
却说袁绍输了一阵，坚守不出。	Viên Thiệu thua một trận, bèn giữ trại, không ra đánh.
两军相拒月余，有人来长安报知董卓。	Hai bên cầm cự nhau hơn một tháng. Có người về Trường An bảo với Đổng Trác.
李儒对卓曰：“袁绍与公孙瓒，亦当今豪杰。	Lý Nho nói với Trác rằng: - Viên Thiệu với Công Tôn Toản đều là hào kiệt bây giờ; nay hiện đương đánh nhau ở trên sông Bàn Hà.
现在磐河厮杀，宜假天子之诏，差人往和解之。	Thái sư nên giả chiếu của vua sai người ra giải hòa.
二人感德，必顺太师矣。”	Hai người ấy hòa thuận với nhau, tất cảm ơn và quy phục thái sư.
卓曰：“善。”	Trác nghe Lý Nho.
次日便使太傅马日磾、太仆赵岐，赍诏前去。	Ngay hôm sau, sai thái phó là Mã Nhật Đê và thái bộc là Triệu Kỳ, đem chiếu mệnh đi dụ hai người.
二人来至河北，绍出迎于百里之外，再拜奉诏。	Hai sứ đi đến Hà Bắc, Viên Thiệu ra ngoài một trăm dặm đón rước, lạy hai lạy, vâng lệnh chiếu dụ.
次日，二人至瓒营宣谕，瓒乃遣使致书于绍，互相讲和。	Hôm sau Mã Nhật Đê và Triệu Kỳ lại đến dinh Công Tôn Toản để dụ. Toản cũng vâng chiếu, liền sai sứ đưa thư sang cho Thiệu.
二人自回京复命。	Hai bên giảng hòa, Mã, Triệu về Trường An.
瓒即日班师，又表荐刘玄德为平原相。	Toản lập tức rút quân về, rồi tiến cử Huyền Đức làm tướng ở Bình Nguyên.
玄德与赵云分别，执手垂泪，不忍相离。	Lưu Bị khi từ giã Triệu Tử Long, hai người cầm tay nhau rỏ nước mắt khóc, ngần ngừ không muốn xa nhau.
